Cliente;Vlr_EUSD;Mês_EUSD
35712;5,95;EUSD_MAI18
35713;5,95;EUSD_MAI18
35714;19,85;EUSD_MAI18
35718;5,95;EUSD_MAI18
35719;5,95;EUSD_MAI18
35721;19,85;EUSD_MAI18
35722;5,95;EUSD_MAI18
35723;5,95;EUSD_MAI18
35724;5,95;EUSD_MAI18
35725;5,95;EUSD_MAI18
35726;19,85;EUSD_MAI18
35868;184,67;EUSD_MAI18
36021;37,33;EUSD_MAI18
36062;0,00;EUSD_MAI18
36063;0,00;EUSD_MAI18
36070;319,31;EUSD_MAI18
36071;0,00;EUSD_MAI18
36072;0,00;EUSD_MAI18
36079;0,00;EUSD_MAI18
36080;0,00;EUSD_MAI18
36081;0,00;EUSD_MAI18
36313;0,00;EUSD_MAI18
36494;0,00;EUSD_MAI18
36495;0,00;EUSD_MAI18
36651;14,69;EUSD_MAI18
36726;5,95;EUSD_MAI18
36731;12,11;EUSD_MAI18
36775;0,00;EUSD_MAI18
36820;0,00;EUSD_MAI18
36895;0,00;EUSD_MAI18
36915;5,95;EUSD_MAI18
36940;127,09;EUSD_MAI18
37168;12,70;EUSD_MAI18
37258;929,35;EUSD_MAI18
37259;274,04;EUSD_MAI18
37294;50,24;EUSD_MAI18
37305;19,85;EUSD_MAI18
37310;19,85;EUSD_MAI18
37332;0,00;EUSD_MAI18
37359;0,00;EUSD_MAI18
37375;170,58;EUSD_MAI18
37390;1199,42;EUSD_MAI18
37627;0,00;EUSD_MAI18
37629;0,00;EUSD_MAI18
37680;171,77;EUSD_MAI18
37877;22,24;EUSD_MAI18
37954;5,95;EUSD_MAI18
37967;5,95;EUSD_MAI18
38133;741,69;EUSD_MAI18
38139;41,10;EUSD_MAI18
38318;0,00;EUSD_MAI18
38330;0,00;EUSD_MAI18
38436;62,94;EUSD_MAI18
38461;42,69;EUSD_MAI18
38468;84,79;EUSD_MAI18
38535;63,14;EUSD_MAI18
38581;5,95;EUSD_MAI18
38604;0,00;EUSD_MAI18
38624;230,35;EUSD_MAI18
38625;0,00;EUSD_MAI18
38626;31,77;EUSD_MAI18
38627;162,83;EUSD_MAI18
38632;99,29;EUSD_MAI18
38652;5,95;EUSD_MAI18
38798;5,95;EUSD_MAI18
38799;5,95;EUSD_MAI18
38803;5,95;EUSD_MAI18
38861;319,71;EUSD_MAI18
38868;19,85;EUSD_MAI18
38873;20,45;EUSD_MAI18
38875;29,58;EUSD_MAI18
38877;19,85;EUSD_MAI18
38884;142,18;EUSD_MAI18
38889;42,29;EUSD_MAI18
38892;19,85;EUSD_MAI18
38910;127,09;EUSD_MAI18
38914;19,85;EUSD_MAI18
38915;179,51;EUSD_MAI18
38928;12,90;EUSD_MAI18
38937;319,91;EUSD_MAI18
38954;0,00;EUSD_MAI18
38957;63,14;EUSD_MAI18
39017;0,00;EUSD_MAI18
39095;0,00;EUSD_MAI18
39096;0,00;EUSD_MAI18
39128;5,95;EUSD_MAI18
39145;873,75;EUSD_MAI18
39294;210,49;EUSD_MAI18
39301;19,85;EUSD_MAI18
39302;863,61;EUSD_MAI18
39470;363,99;EUSD_MAI18
39475;364,39;EUSD_MAI18
39478;85,38;EUSD_MAI18
39480;0,00;EUSD_MAI18
39481;54,21;EUSD_MAI18
39504;5,95;EUSD_MAI18
39512;1234,96;EUSD_MAI18
39678;5,95;EUSD_MAI18
39719;0,00;EUSD_MAI18
39734;834,03;EUSD_MAI18
39739;29,78;EUSD_MAI18
39930;0,00;EUSD_MAI18
39944;5,95;EUSD_MAI18
40122;29,78;EUSD_MAI18
40232;19,85;EUSD_MAI18
40558;148,93;EUSD_MAI18
40567;240,28;EUSD_MAI18
40578;127,09;EUSD_MAI18
40657;0,00;EUSD_MAI18
40716;711,90;EUSD_MAI18
40799;19,85;EUSD_MAI18
40948;6545,19;EUSD_MAI18
40960;0,00;EUSD_MAI18
41099;5,95;EUSD_MAI18
41232;5,95;EUSD_MAI18
41290;0,00;EUSD_MAI18
41305;11,31;EUSD_MAI18
41323;5,95;EUSD_MAI18
41334;24,62;EUSD_MAI18
41359;177,33;EUSD_MAI18
41363;924,98;EUSD_MAI18
41365;552,64;EUSD_MAI18
41386;75,46;EUSD_MAI18
41387;55,99;EUSD_MAI18
41388;32,56;EUSD_MAI18
41393;19,85;EUSD_MAI18
41512;0,00;EUSD_MAI18
41518;133,04;EUSD_MAI18
41520;0,00;EUSD_MAI18
41525;0,00;EUSD_MAI18
41552;5,95;EUSD_MAI18
