Cliente;Vlr_EUSD;Mes_eusd;AnoEUSD;
31333;19.85;MAI_18;2018;
31337;5.95;MAI_18;2018;
31626;5.95;MAI_18;2018;
31655;6.35;MAI_18;2018;
31666;10.32;MAI_18;2018;
31669;15.88;MAI_18;2018;
31858;0.00;MAI_18;2018;
32032;396.96;MAI_18;2018;
32042;25.81;MAI_18;2018;
32108;386.83;MAI_18;2018;
32148;0.00;MAI_18;2018;
32256;0.00;MAI_18;2018;
32398;57.38;MAI_18;2018;
32441;462.69;MAI_18;2018;
32984;556.02;MAI_18;2018;
33029;19.85;MAI_18;2018;
33034;44.68;MAI_18;2018;
33059;19.85;MAI_18;2018;
33122;5.95;MAI_18;2018;
33128;0.00;MAI_18;2018;
33132;448.98;MAI_18;2018;
33187;8.93;MAI_18;2018;
33239;0.00;MAI_18;2018;
33325;0.00;MAI_18;2018;
34047;5.95;MAI_18;2018;
34048;5.95;MAI_18;2018;
34049;355.25;MAI_18;2018;
34098;25.41;MAI_18;2018;
34202;43.68;MAI_18;2018;
34208;116.96;MAI_18;2018;
34215;32.56;MAI_18;2018;
34223;58.77;MAI_18;2018;
34225;5.95;MAI_18;2018;
34253;164.62;MAI_18;2018;
34261;91.34;MAI_18;2018;
34273;5.95;MAI_18;2018;
34275;524.25;MAI_18;2018;
34276;5.95;MAI_18;2018;
34287;19.85;MAI_18;2018;
34354;37.33;MAI_18;2018;
34369;0.00;MAI_18;2018;
34429;32.76;MAI_18;2018;
34458;30.18;MAI_18;2018;
34567;5.95;MAI_18;2018;
34569;5.95;MAI_18;2018;
34570;5.95;MAI_18;2018;
34574;5.95;MAI_18;2018;
34577;5.95;MAI_18;2018;
34578;5.95;MAI_18;2018;
34584;5.95;MAI_18;2018;
34585;5.95;MAI_18;2018;
34586;5.95;MAI_18;2018;
34587;5.95;MAI_18;2018;
34588;5.95;MAI_18;2018;
34589;5.95;MAI_18;2018;
34591;19.85;MAI_18;2018;
34712;0.00;MAI_18;2018;
34789;5.95;MAI_18;2018;
34797;19.85;MAI_18;2018;
34873;2114.28;MAI_18;2018;
34883;54.01;MAI_18;2018;
34888;31.57;MAI_18;2018;
34889;65.72;MAI_18;2018;
34893;34.15;MAI_18;2018;
34894;24.42;MAI_18;2018;
34896;20.65;MAI_18;2018;
34900;9.92;MAI_18;2018;
34901;10.12;MAI_18;2018;
34902;9.92;MAI_18;2018;
34903;25.02;MAI_18;2018;
34904;45.87;MAI_18;2018;
34905;9.92;MAI_18;2018;
34907;0.00;MAI_18;2018;
34908;20.45;MAI_18;2018;
34977;144.96;MAI_18;2018;
35134;5.95;MAI_18;2018;
35196;5.95;MAI_18;2018;
35214;26.01;MAI_18;2018;
35301;52.02;MAI_18;2018;
35363;453.35;MAI_18;2018;
35568;61.16;MAI_18;2018;
35590;5.95;MAI_18;2018;
35701;5.95;MAI_18;2018;
35702;5.95;MAI_18;2018;
35704;5.95;MAI_18;2018;
35705;5.95;MAI_18;2018;
35706;5.95;MAI_18;2018;
35710;19.85;MAI_18;2018;
35711;5.95;MAI_18;2018;
35712;5.95;MAI_18;2018;
35713;5.95;MAI_18;2018;
35714;19.85;MAI_18;2018;
35718;5.95;MAI_18;2018;
35719;5.95;MAI_18;2018;
35721;19.85;MAI_18;2018;
35722;5.95;MAI_18;2018;
35723;5.95;MAI_18;2018;
35724;5.95;MAI_18;2018;
35725;5.95;MAI_18;2018;
35726;19.85;MAI_18;2018;
35868;184.67;MAI_18;2018;
36021;37.33;MAI_18;2018;
36062;0.00;MAI_18;2018;
36063;0.00;MAI_18;2018;
36070;319.31;MAI_18;2018;
36071;0.00;MAI_18;2018;
36072;0.00;MAI_18;2018;
36079;0.00;MAI_18;2018;
36080;0.00;MAI_18;2018;
36081;0.00;MAI_18;2018;
36313;0.00;MAI_18;2018;
36494;0.00;MAI_18;2018;
36495;0.00;MAI_18;2018;
36651;14.69;MAI_18;2018;
36726;5.95;MAI_18;2018;
36731;12.11;MAI_18;2018;
36775;0.00;MAI_18;2018;
36820;0.00;MAI_18;2018;
36895;0.00;MAI_18;2018;
36915;5.95;MAI_18;2018;
36940;127.09;MAI_18;2018;
37168;12.70;MAI_18;2018;
37258;929.35;MAI_18;2018;
37259;274.04;MAI_18;2018;
37294;50.24;MAI_18;2018;
37305;19.85;MAI_18;2018;
37310;19.85;MAI_18;2018;
37332;0.00;MAI_18;2018;
37359;0.00;MAI_18;2018;
37375;170.58;MAI_18;2018;
37390;1199.42;MAI_18;2018;
37627;0.00;MAI_18;2018;
37629;0.00;MAI_18;2018;
37680;171.77;MAI_18;2018;
37877;22.24;MAI_18;2018;
37954;5.95;MAI_18;2018;
37967;5.95;MAI_18;2018;
38133;741.69;MAI_18;2018;
38139;41.10;MAI_18;2018;
38318;0.00;MAI_18;2018;
38330;0.00;MAI_18;2018;
38436;62.94;MAI_18;2018;
38461;42.69;MAI_18;2018;
38468;84.79;MAI_18;2018;
38535;63.14;MAI_18;2018;
38581;5.95;MAI_18;2018;
38604;0.00;MAI_18;2018;
38624;230.35;MAI_18;2018;
38625;0.00;MAI_18;2018;
38626;31.77;MAI_18;2018;
38627;162.83;MAI_18;2018;
38632;99.29;MAI_18;2018;
38652;5.95;MAI_18;2018;
38798;5.95;MAI_18;2018;
38799;5.95;MAI_18;2018;
38803;5.95;MAI_18;2018;
38861;319.71;MAI_18;2018;
38868;19.85;MAI_18;2018;
38873;20.45;MAI_18;2018;
38875;29.58;MAI_18;2018;
38877;19.85;MAI_18;2018;
38884;142.18;MAI_18;2018;
38889;42.29;MAI_18;2018;
38892;19.85;MAI_18;2018;
38910;127.09;MAI_18;2018;
38914;19.85;MAI_18;2018;
38915;179.51;MAI_18;2018;
38928;12.90;MAI_18;2018;
38937;319.91;MAI_18;2018;
38954;0.00;MAI_18;2018;
38957;63.14;MAI_18;2018;
39017;0.00;MAI_18;2018;
39095;0.00;MAI_18;2018;
39096;0.00;MAI_18;2018;
39128;5.95;MAI_18;2018;
39145;873.75;MAI_18;2018;
39294;210.49;MAI_18;2018;
39301;19.85;MAI_18;2018;
39302;863.61;MAI_18;2018;
39470;363.99;MAI_18;2018;
39475;364.39;MAI_18;2018;
39478;85.38;MAI_18;2018;
39480;0.00;MAI_18;2018;
39481;54.21;MAI_18;2018;
39504;5.95;MAI_18;2018;
39512;1234.96;MAI_18;2018;
39678;5.95;MAI_18;2018;
39719;0.00;MAI_18;2018;
39734;834.03;MAI_18;2018;
39739;29.78;MAI_18;2018;
39930;0.00;MAI_18;2018;
39944;5.95;MAI_18;2018;
40122;29.78;MAI_18;2018;
40232;19.85;MAI_18;2018;
40558;148.93;MAI_18;2018;
40567;240.28;MAI_18;2018;
40578;127.09;MAI_18;2018;
40657;0.00;MAI_18;2018;
40716;711.90;MAI_18;2018;
40799;19.85;MAI_18;2018;
40948;6545.19;MAI_18;2018;
40960;0.00;MAI_18;2018;
41099;5.95;MAI_18;2018;
41232;5.95;MAI_18;2018;
41290;0.00;MAI_18;2018;
41305;11.31;MAI_18;2018;
41323;5.95;MAI_18;2018;
41334;24.62;MAI_18;2018;
41359;177.33;MAI_18;2018;
41363;924.98;MAI_18;2018;
41365;552.64;MAI_18;2018;
41386;75.46;MAI_18;2018;
41387;55.99;MAI_18;2018;
41388;32.56;MAI_18;2018;
41393;19.85;MAI_18;2018;
41512;0.00;MAI_18;2018;
41518;133.04;MAI_18;2018;
